name,level,division,conference,state,city,athletics_url
Rosemont College,college,NCAA_D3,United East Conference,PA,Rosemont,
Rowan University,college,NCAA_D3,New Jersey Athletic Conference,NJ,Glassboro,
Russell Sage College,college,NCAA_D3,Empire 8,NY,Albany&Troy,
Rust College,college,NAIA,HBCU Athletic Conference,MS,Holly Springs,
Rutgers University–Camden,college,NCAA_D3,New Jersey Athletic Conference,NJ,Camden,
Rutgers University–New Brunswick,college,NCAA_D1_FBS,Big Ten Conference,NJ,New Brunswick,
Rutgers University–Newark,college,NCAA_D3,New Jersey Athletic Conference,NJ,Newark,
Sacred Heart University,college,NCAA_D1_FCS,Metro Atlantic Athletic Conference,CT,Fairfield,
Saginaw Valley State University,college,NCAA_D2,Great Lakes Intercollegiate Athletic Conference,MI,University Center,
Saint Anselm College,college,NCAA_D2,Northeast-10 Conference,NH,Goffstown,
Saint Bonaventure University,college,NCAA_D1,Atlantic 10 Conference,NY,Saint Bonaventure,
Saint Elizabeth University,college,NCAA_D3,Atlantic East Conference,NJ,Convent Station,
Saint Francis University,college,NCAA_D1_FCS,NEC,PA,Loretto,
Saint John's University,college,NCAA_D1,Big East Conference,NY,Queens,
Saint Joseph's College of Maine,college,NCAA_D3,Great Northeast Athletic Conference,ME,Standish,
Saint Joseph's University,college,NCAA_D1,Atlantic 10 Conference,PA,Philadelphia,
Saint Leo University,college,NCAA_D2,Sunshine State Conference,FL,St. Leo,
Saint Louis University,college,NCAA_D1,Atlantic 10 Conference,MO,Saint Louis,
Saint Martin's University,college,NCAA_D2,Great Northwest Athletic Conference,WA,Lacey,
Saint Mary's College,college,NCAA_D3,Michigan Intercollegiate Athletic Association,IN,Notre Dame,
Saint Mary's College of California,college,NCAA_D1,West Coast Conference,CA,Moraga,
Saint Mary's University of Minnesota,college,NCAA_D3,Minnesota Intercollegiate Athletic Conference,MN,Winona,
Saint Mary-of-the-Woods College(SMWC),college,NAIA,River States Conference,IN,Saint Mary's,
Saint Michael's College,college,NCAA_D2,Northeast-10 Conference,VT,Colchester,
Saint Peter's University,college,NCAA_D1,Metro Atlantic Athletic Conference,NJ,Jersey City,
Saint Vincent College,college,NCAA_D3,Presidents' Athletic Conference,PA,Latrobe,
Saint Xavier University,college,NAIA,Chicagoland Collegiate Athletic Conference,IL,Chicago,
Salem College,college,NCAA_D3,USA South Athletic Conference,NC,Winston-Salem,
Salem State University,college,NCAA_D3,Massachusetts State Collegiate Athletic Conference,MA,Salem,
Salem University,college,NCAA_D2,Independent,WV,Salem,
Salisbury University,college,NCAA_D3,Coast to Coast Athletic Conference,MD,Salisbury,
Salve Regina University,college,NCAA_D3,New England Women's and Men's Athletic Conference,RI,Newport,
Sam Houston State University,college,NCAA_D1_FBS,Conference USA,TX,Huntsville,
Samford University,college,NCAA_D1_FCS,Southern Conference,AL,Homewood,
San Diego State University,college,NCAA_D1_FBS,Mountain West Conference,CA,San Diego,
San Francisco State University,college,NCAA_D2,California Collegiate Athletic Association,CA,San Francisco,
San Jose State University,college,NCAA_D1_FBS,Mountain West Conference,CA,San Jose,
Santa Clara University,college,NCAA_D1,West Coast Conference,CA,Santa Clara,
Sarah Lawrence College,college,NCAA_D3,Skyline Conference,NY,Yonkers,
Savannah College of Art and Design*,college,NAIA,Sun Conference,GA,Savannah,
Savannah State University,college,NCAA_D2,Southern Intercollegiate Athletic Conference,GA,Savannah,
Schreiner University,college,NCAA_D3,Southern Collegiate Athletic Conference(American Southwest Conferencein 2026),TX,Kerrville,
Seattle Pacific University,college,NCAA_D2,Great Northwest Athletic Conference,WA,Seattle,
Seattle University,college,NCAA_D1,West Coast Conference,WA,Seattle,
Seton Hall University,college,NCAA_D1,Big East Conference,NJ,South Orange,
Seton Hill University,college,NCAA_D2,Pennsylvania State Athletic Conference,PA,Greensburg,
Shaw University,college,NCAA_D2,Central Intercollegiate Athletic Association,NC,Raleigh,
Shawnee State University,college,NCAA_D2,Mountain East Conference,OH,Portsmouth,
Shenandoah University,college,NCAA_D3,Old Dominion Athletic Conference,VA,Winchester,
Shepherd University,college,NCAA_D2,Pennsylvania State Athletic Conference,WV,Shepherdstown,
Shippensburg University of Pennsylvania,college,NCAA_D2,Pennsylvania State Athletic Conference,PA,Shippensburg,
Shorter University,college,NCAA_D2,Conference Carolinas,GA,Rome,
Siena Heights University,college,NAIA,Wolverine–Hoosier Athletic Conference,MI,Adrian,
Siena University,college,NCAA_D1,Metro Atlantic Athletic Conference,NY,Loudonville,
Simmons University,college,NCAA_D3,Great Northeast Athletic Conference,MA,Boston,
Simon Fraser University,college,NCAA_D2,Great Northwest Athletic Conference,,Burnaby,
Simpson College,college,NCAA_D3,American Rivers Conference,IA,Indianola,
Simpson University,college,NAIA,California Pacific Conference,CA,Redding,
Skidmore College,college,NCAA_D3,Liberty League,NY,Saratoga Springs,
Slippery Rock University of Pennsylvania,college,NCAA_D2,Pennsylvania State Athletic Conference,PA,Slippery Rock,
Smith College,college,NCAA_D3,New England Women's and Men's Athletic Conference,MA,Northampton,
Soka University of America*,college,NAIA,Great Southwest Athletic Conference,CA,Aliso Viejo,
South Carolina State University,college,NCAA_D1_FCS,Mid-Eastern Athletic Conference,SC,Orangeburg,
South Dakota School of Mines and Technology,college,NCAA_D2,Rocky Mountain Athletic Conference,SD,Rapid City,
South Dakota State University,college,NCAA_D1_FCS,Summit League,SD,Brookings,
Southeast Missouri State University,college,NCAA_D1_FCS,Ohio Valley Conference,MO,Cape Girardeau,
Southeastern Louisiana University,college,NCAA_D1_FCS,Southland Conference,LA,Hammond,
Southeastern Oklahoma State University,college,NCAA_D2,Great American Conference,OK,Durant,
Southeastern University,college,NAIA,Sun Conference,FL,Lakeland,
Southern Arkansas University,college,NCAA_D2,Great American Conference,AR,Magnolia,
Southern Connecticut State University,college,NCAA_D2,Northeast-10 Conference,CT,New Haven,
Southern Illinois University Carbondale,college,NCAA_D1_FCS,Missouri Valley Conference,IL,Carbondale,
Southern Illinois University Edwardsville,college,NCAA_D1,Ohio Valley Conference,IL,Edwardsville,
Southern Methodist University,college,NCAA_D1_FBS,Atlantic Coast Conference,TX,Dallas,
Southern Nazarene University,college,NCAA_D2,Great American Conference,OK,Bethany,
Southern New Hampshire University,college,NCAA_D2,Northeast-10 Conference,NH,ManchesterandHooksett,
Southern Oregon University,college,NAIA,Cascade Collegiate Conference,OR,Ashland,
Southern University and A&M College,college,NCAA_D1_FCS,Southwestern Athletic Conference,LA,Baton Rouge,
Southern University at New Orleans(SUNO),college,NAIA,HBCU Athletic Conference,LA,New Orleans,
Southern Utah University,college,NCAA_D1_FCS,Western Athletic Conference,UT,Cedar City,
Southern Virginia University,college,NCAA_D3,USA South Athletic Conference,VA,Buena Vista,
Southern Wesleyan University,college,NCAA_D2,Conference Carolinas,SC,Central,
Southwest Baptist University,college,NCAA_D2,Great Lakes Valley Conference,MO,Bolivar,
Southwest Minnesota State University,college,NCAA_D2,Northern Sun Intercollegiate Conference,MN,Marshall,
Southwestern Christian University,college,NAIA,Sooner Athletic Conference,OK,Bethany,
Southwestern College,college,NAIA,Kansas Collegiate Athletic Conference,KS,Winfield,
Southwestern Oklahoma State University,college,NCAA_D2,Great American Conference,OK,Weatherford,
Southwestern University,college,NCAA_D3,Southern Athletic Association,TX,Georgetown,
Spalding University,college,NCAA_D3,St. Louis Intercollegiate Athletic Conference,KY,Louisville,
Spartanburg Methodist College,college,NAIA,Appalachian Athletic Conference,SC,Saxon,
Spring Arbor University,college,NAIA,Crossroads League,MI,Spring Arbor,
Spring Hill College,college,NCAA_D2,Southern Intercollegiate Athletic Conference,AL,Mobile,
Springfield College,college,NCAA_D3,New England Women's and Men's Athletic Conference,MA,Springfield,
St. Ambrose University,college,NAIA,Chicagoland Collegiate Athletic Conference,IA,Davenport,
St. Catherine University,college,NCAA_D3,Minnesota Intercollegiate Athletic Conference,MN,St. Paul,
St. Cloud State University,college,NCAA_D2,Northern Sun Intercollegiate Conference,MN,St. Cloud,
St. Edward's University,college,NCAA_D2,Lone Star Conference,TX,Austin,
St. John Fisher University,college,NCAA_D3,Empire 8,NY,Pittsford,
St. Joseph's University,college,NCAA_D3,Skyline Conference,NY,Brooklyn,
St. Lawrence University,college,NCAA_D3,Liberty League,NY,Canton,
St. Mary's College of Maryland,college,NCAA_D3,United East Conference,MD,St. Mary's City,
St. Mary's University,college,NCAA_D2,Lone Star Conference,TX,San Antonio,
St. Norbert College,college,NCAA_D3,Northern Athletics Collegiate Conference,WI,De Pere,
St. Olaf College,college,NCAA_D3,Minnesota Intercollegiate Athletic Conference,MN,Northfield,
St. Thomas Aquinas College,college,NCAA_D2,East Coast Conference,NY,Sparkill,
St. Thomas University,college,NAIA,Sun Conference,FL,Miami Gardens,
Stanton University,college,NAIA,California Pacific Conference,CA,Anaheim,
State University of Iowa,college,NCAA_D1_FBS,Big Ten Conference,IA,Iowa City,
State University of New York at Albany,college,NCAA_D1_FCS,America East Conference,NY,Albany,
State University of New York at Binghamton,college,NCAA_D1,America East Conference,NY,Binghamton,
State University of New York at Brockport,college,NCAA_D3,Empire 8,NY,Brockport,
State University of New York at Buffalo,college,NCAA_D1_FBS,Mid-American Conference,NY,Buffalo,
State University of New York at Canton,college,NCAA_D3,State University of New York Athletic Conference,NY,Canton,
State University of New York at Cobleskill,college,NCAA_D3,North Atlantic Conference(State University of New York Athletic Conferencein 2026),NY,Cobleskill,
State University of New York at Cortland,college,NCAA_D3,State University of New York Athletic Conference,NY,Cortland,
State University of New York at Delhi,college,NCAA_D3,North Atlantic Conference(State University of New York Athletic Conferencein 2026),NY,Delhi,
State University of New York at Fredonia,college,NCAA_D3,State University of New York Athletic Conference,NY,Fredonia,
State University of New York at Geneseo,college,NCAA_D3,Empire 8,NY,Geneseo,
State University of New York at Morrisville,college,NCAA_D3,State University of New York Athletic Conference,NY,Morrisville,
State University of New York at New Paltz,college,NCAA_D3,State University of New York Athletic Conference(New Jersey Athletic Conferencein 2026),NY,New Paltz,
State University of New York at Old Westbury,college,NCAA_D3,Skyline Conference,NY,Old Westbury,
State University of New York at Oneonta,college,NCAA_D3,State University of New York Athletic Conference,NY,Oneonta,
State University of New York at Oswego,college,NCAA_D3,State University of New York Athletic Conference,NY,Oswego,
State University of New York at Plattsburgh,college,NCAA_D3,State University of New York Athletic Conference,NY,Plattsburgh,
State University of New York at Potsdam,college,NCAA_D3,State University of New York Athletic Conference,NY,Potsdam,
State University of New York at Purchase,college,NCAA_D3,Skyline Conference,NY,Purchase,
State University of New York at Stony Brook,college,NCAA_D1_FCS,Coastal Athletic Association,NY,Stony Brook,
State University of New York Maritime College,college,NCAA_D3,Skyline Conference,NY,The Bronx,
State University of New York Polytechnic Institute,college,NCAA_D3,Empire 8,NY,Marcy,
Stephen F. Austin State University,college,NCAA_D1_FCS,Southland Conference,TX,Nacogdoches,
Stephens College,college,NAIA,American Midwest Conference,MO,Columbia,
Sterling College,college,NAIA,Kansas Collegiate Athletic Conference,KS,Sterling,
Stetson University,college,NCAA_D1_FCS,Atlantic Sun Conference,FL,DeLand,
Stevens Institute of Technology,college,NCAA_D3,MAC Freedom,NJ,Hoboken,
Stevenson University,college,NCAA_D3,MAC Commonwealth,MD,Stevenson,
Stillman College,college,NAIA,HBCU Athletic Conference,AL,Tuscaloosa,
Stockton University,college,NCAA_D3,New Jersey Athletic Conference,NJ,Pomona,
Stonehill College,college,NCAA_D1_FCS,NEC,MA,Easton,
Suffolk University,college,NCAA_D3,Conference of New England,MA,Boston,
Sul Ross State University,college,NCAA_D2,Lone Star Conference,TX,Alpine,
Susquehanna University,college,NCAA_D3,Landmark Conference,PA,Selinsgrove,
Swarthmore College,college,NCAA_D3,Centennial Conference,PA,Swarthmore,
Sweet Briar College,college,NCAA_D3,Old Dominion Athletic Conference,VA,Sweet Briar,
Syracuse University,college,NCAA_D1_FBS,Atlantic Coast Conference,NY,Syracuse,
Tabor College,college,NAIA,Kansas Collegiate Athletic Conference,KS,Hillsboro,
Talladega College,college,NAIA,HBCU Athletic Conference,AL,Talladega,
Tarleton State University,college,NCAA_D1_FCS,Western Athletic Conference,TX,Stephenville,
Taylor University,college,NAIA,Crossroads League,IN,Upland,
Temple University,college,NCAA_D1_FBS,American Conference,PA,Philadelphia,
Tennessee State University,college,NCAA_D1_FCS,Ohio Valley Conference,TN,Nashville,
Tennessee Technological University,college,NCAA_D1_FCS,Ohio Valley Conference,TN,Cookeville,
Tennessee Wesleyan University,college,NAIA,Appalachian Athletic Conference,TN,Athens,
Texas A&M International University,college,NCAA_D2,Lone Star Conference,TX,Laredo,
Texas A&M University,college,NCAA_D1_FBS,Southeastern Conference,TX,College Station,
Texas A&M University–Corpus Christi,college,NCAA_D1,Southland Conference,TX,Corpus Christi,
Texas A&M University–Kingsville,college,NCAA_D2,Lone Star Conference,TX,Kingsville,
Texas A&M University–San Antonio,college,NAIA,Red River Athletic Conference,TX,San Antonio,
Texas A&M University–Texarkana,college,NCAA_D2,Lone Star Conference,TX,Texarkana,
Texas A&M University–Victoria*,college,NAIA,Red River Athletic Conference,TX,Victoria,
Texas Christian University,college,NCAA_D1_FBS,Big 12 Conference,TX,Fort Worth,
Texas College,college,NAIA,Red River Athletic Conference,TX,Tyler,
Texas Lutheran University,college,NCAA_D3,Southern Collegiate Athletic Conference,TX,Seguin,
Texas Southern University,college,NCAA_D1_FCS,Southwestern Athletic Conference,TX,Houston,
Texas State University,college,NCAA_D1_FBS,Sun Belt Conference,TX,San Marcos,
Texas Tech University,college,NCAA_D1_FBS,Big 12 Conference,TX,Lubbock,
Texas Wesleyan University,college,NAIA,Sooner Athletic Conference,TX,Fort Worth,
Texas Woman's University,college,NCAA_D2,Lone Star Conference,TX,Denton,
"The Citadel, The Military College of South Carolina",college,NCAA_D1_FCS,Southern Conference,SC,Charleston,
The College of New Jersey,college,NCAA_D3,New Jersey Athletic Conference,NJ,Ewing,
The College of St. Scholastica,college,NCAA_D3,Minnesota Intercollegiate Athletic Conference,MN,Duluth,
The College of William and Mary in Virginia,college,NCAA_D1_FCS,Coastal Athletic Association,VA,Williamsburg,
The Evergreen State College,college,NAIA,Cascade Collegiate Conference,WA,Olympia,
The George Washington University,college,NCAA_D1,Atlantic 10 Conference,DC,Washington,
The Master's University,college,NAIA,Great Southwest Athletic Conference,CA,Santa Clarita,
The Ohio State University,college,NCAA_D1_FBS,Big Ten Conference,OH,Columbus,
The Ohio University,college,NCAA_D1_FBS,Mid-American Conference,OH,Athens,
The Pennsylvania State University,college,NCAA_D1_FBS,Big Ten Conference,PA,University Park,
The University of Akron,college,NCAA_D1_FBS,Mid-American Conference,OH,Akron,
The University of Alabama,college,NCAA_D1_FBS,Southeastern Conference,AL,Tuscaloosa,
The University of Mississippi,college,NCAA_D1_FBS,Southeastern Conference,MS,University,
The University of New Mexico,college,NCAA_D1_FBS,Mountain West Conference,NM,Albuquerque,
The University of Tennessee at Chattanooga,college,NCAA_D1_FCS,Southern Conference,TN,Chattanooga,
The University of Tennessee at Martin,college,NCAA_D1_FCS,Ohio Valley Conference,TN,Martin,
"The University of Tennessee, Knoxville",college,NCAA_D1_FBS,Southeastern Conference,TN,Knoxville,
The University of Texas at Arlington,college,NCAA_D1,Western Athletic Conference,TX,Arlington,
The University of Texas at Austin,college,NCAA_D1_FBS,Southeastern Conference,TX,Austin,
The University of Texas at El Paso,college,NCAA_D1_FBS,Conference USA,TX,El Paso,
The University of Texas at San Antonio,college,NCAA_D1_FBS,American Conference,TX,San Antonio,
The University of Texas Rio Grande Valley,college,NCAA_D1_FCS,Southland Conference,TX,Edinburg,
The University of Tulsa,college,NCAA_D1_FBS,American Conference,OK,Tulsa,
The University of Vermont and State Agricultural College,college,NCAA_D1,America East Conference,VT,Burlington,
Thiel College,college,NCAA_D3,Presidents' Athletic Conference,PA,Greenville,
Thomas College,college,NCAA_D3,North Atlantic Conference,ME,Waterville,
Thomas Jefferson University,college,NCAA_D2,Central Atlantic Collegiate Conference,PA,Philadelphia,
Thomas More University,college,NCAA_D2,Great Midwest Athletic Conference,KY,Crestview Hills,
Thomas University,college,NAIA,Southern States Athletic Conference,GA,Thomasville,
Tiffin University,college,NCAA_D2,Great Midwest Athletic Conference,OH,Tiffin,
Tougaloo College,college,NAIA,HBCU Athletic Conference,MS,Tougaloo,
Towson University,college,NCAA_D1_FCS,Coastal Athletic Association,MD,Towson,
Transylvania University,college,NCAA_D3,Heartland Collegiate Athletic Conference,KY,Lexington,
Trevecca Nazarene University,college,NCAA_D2,Gulf South Conference,TN,Nashville,
Trine University,college,NCAA_D3,Michigan Intercollegiate Athletic Association,IN,Angola,
Trinity Christian College,college,NAIA,Chicagoland Collegiate Athletic Conference,IL,Palos Heights,
Trinity College,college,NCAA_D3,New England Small College Athletic Conference,CT,Hartford,
Trinity University,college,NCAA_D3,Southern Athletic Association,TX,San Antonio,
Trinity Washington University,college,NCAA_D3,Independent,DC,Washington,
Trinity Western University*,college,NAIA,Cascade Collegiate Conference,,Langley,
Troy University,college,NCAA_D1_FBS,Sun Belt Conference,AL,Troy,
Truett McConnell University,college,NAIA,Appalachian Athletic Conference,GA,Cleveland,
Truman State University,college,NCAA_D2,Great Lakes Valley Conference,MO,Kirksville,
Tufts University,college,NCAA_D3,New England Small College Athletic Conference,MA,Medford,
Tulane University of Louisiana,college,NCAA_D1_FBS,American Conference,LA,New Orleans,
Tusculum University,college,NCAA_D2,South Atlantic Conference,TN,Greeneville,
Tuskegee University,college,NCAA_D2,Southern Intercollegiate Athletic Conference,AL,Tuskegee,
UMass,college,NCAA_D1_FBS,MAC,MA,Amherst,
Union College,college,NCAA_D3,Liberty League,NY,Schenectady,
Union Commonwealth University,college,NAIA,Appalachian Athletic Conference,KY,Barbourville,
Union University,college,NCAA_D2,Gulf South Conference,TN,Jackson,
United States Air Force Academy,college,NCAA_D1_FBS,Mountain West Conference,CO,USAF Academy,
United States Coast Guard Academy,college,NCAA_D3,New England Women's and Men's Athletic Conference,CT,New London,
United States Merchant Marine Academy,college,NCAA_D3,Skyline Conference,NY,Kings Point,
United States Military Academy,college,NCAA_D1_FBS,Patriot League,NY,West Point,
United States Naval Academy,college,NCAA_D1_FBS,Patriot League,MD,Annapolis,
University of Alabama at Birmingham,college,NCAA_D1_FBS,American Conference,AL,Birmingham,
University of Alabama in Huntsville,college,NCAA_D2,Gulf South Conference,AL,Huntsville,
University of Alaska Anchorage,college,NCAA_D2,Great Northwest Athletic Conference,AK,Anchorage,
University of Alaska Fairbanks,college,NCAA_D2,Great Northwest Athletic Conference,AK,Fairbanks,
University of Arizona,college,NCAA_D1_FBS,Big 12 Conference,AZ,Tucson,
University of Arkansas,college,NCAA_D1_FBS,Southeastern Conference,AR,Fayetteville,
University of Arkansas at Little Rock,college,NCAA_D1,Ohio Valley Conference,AR,Little Rock,
University of Arkansas at Monticello,college,NCAA_D2,Great American Conference,AR,Monticello,
University of Arkansas at Pine Bluff,college,NCAA_D1_FCS,Southwestern Athletic Conference,AR,Pine Bluff,
University of Arkansas–Fort Smith,college,NCAA_D2,Mid-America Intercollegiate Athletics Association,AR,Fort Smith,
University of Bridgeport,college,NCAA_D2,Central Atlantic Collegiate Conference,CT,Bridgeport,
University of British Columbia*,college,NAIA,Cascade Collegiate Conference,,Vancouver,
"University of California, Berkeley",college,NCAA_D1_FBS,Atlantic Coast Conference,CA,Berkeley,
"University of California, Davis",college,NCAA_D1_FCS,Big West Conference,CA,Davis,
"University of California, Irvine",college,NCAA_D1,Big West Conference,CA,Irvine,
"University of California, Los Angeles",college,NCAA_D1_FBS,Big Ten Conference,CA,Los Angeles,
"University of California, Merced",college,NCAA_D2,California Collegiate Athletic Association,CA,Merced,
"University of California, Riverside",college,NCAA_D1,Big West Conference,CA,Riverside,
"University of California, San Diego",college,NCAA_D1,Big West Conference,CA,La Jolla,
"University of California, Santa Barbara",college,NCAA_D1,Big West Conference,CA,Santa Barbara,
"University of California, Santa Cruz",college,NCAA_D3,Coast to Coast Athletic Conference,CA,Santa Cruz,
University of Central Arkansas,college,NCAA_D1_FCS,Atlantic Sun Conference,AR,Conway,
University of Central Florida,college,NCAA_D1_FBS,Big 12 Conference,FL,Orlando,
University of Central Missouri,college,NCAA_D2,Mid-America Intercollegiate Athletics Association,MO,Warrensburg,
University of Central Oklahoma,college,NCAA_D2,Mid-America Intercollegiate Athletics Association,OK,Edmond,
University of Charleston,college,NCAA_D2,Mountain East Conference,WV,Charleston,
University of Chicago,college,NCAA_D3,University Athletic Association,IL,Chicago,
University of Cincinnati,college,NCAA_D1_FBS,Big 12 Conference,OH,Cincinnati,
University of Colorado Boulder,college,NCAA_D1_FBS,Big 12 Conference,CO,Boulder,
University of Colorado Colorado Springs,college,NCAA_D2,Rocky Mountain Athletic Conference,CO,Colorado Springs,
University of Connecticut,college,NCAA_D1_FBS,Big East Conference,CT,Storrs,
University of Dallas,college,NCAA_D3,Southern Collegiate Athletic Conference,TX,Irving,
University of Dayton,college,NCAA_D1_FCS,Atlantic 10 Conference,OH,Dayton,
University of Delaware,college,NCAA_D1_FBS,Conference USA,DE,Newark,
University of Denver,college,NCAA_D1,Summit League,CO,Denver,
University of Detroit Mercy,college,NCAA_D1,Horizon League,MI,Detroit,
University of Dubuque,college,NCAA_D3,American Rivers Conference,IA,Dubuque,
University of Evansville,college,NCAA_D1,Missouri Valley Conference,IN,Evansville,
University of Findlay,college,NCAA_D2,Great Midwest Athletic Conference,OH,Findlay,
University of Florida,college,NCAA_D1_FBS,Southeastern Conference,FL,Gainesville,
University of Georgia,college,NCAA_D1_FBS,Southeastern Conference,GA,Athens,
University of Hartford,college,NCAA_D3,Conference of New England,CT,West Hartford,
University of Hawai'i at Hilo,college,NCAA_D2,Pacific West Conference,HI,Hilo,
University of Hawaiʻi at Mānoa,college,NCAA_D1_FBS,Big West Conference,HI,Honolulu,
University of Health Sciences and Pharmacy in St. Louis,college,NAIA,American Midwest Conference,MO,St. Louis,
University of Houston,college,NCAA_D1_FBS,Big 12 Conference,TX,Houston,
University of Idaho,college,NCAA_D1_FCS,Big Sky Conference,ID,Moscow,
University of Illinois at Springfield,college,NCAA_D2,Great Lakes Valley Conference,IL,Springfield,
University of Illinois Chicago,college,NCAA_D1,Missouri Valley Conference,IL,Chicago,
University of Illinois Urbana-Champaign,college,NCAA_D1_FBS,Big Ten Conference,IL,Urbana,
University of Indianapolis,college,NCAA_D2,Great Lakes Valley Conference,IN,Indianapolis,
University of Jamestown,college,NCAA_D2,Northern Sun Intercollegiate Conference,ND,Jamestown,
University of Kansas,college,NCAA_D1_FBS,Big 12 Conference,KS,Lawrence,
University of Kentucky,college,NCAA_D1_FBS,Southeastern Conference,KY,Lexington,
University of La Verne,college,NCAA_D3,Southern California Intercollegiate Athletic Conference,CA,La Verne,
University of Louisiana at Lafayette,college,NCAA_D1_FBS,Sun Belt Conference,LA,Lafayette,
University of Louisiana at Monroe,college,NCAA_D1_FBS,Sun Belt Conference,LA,Monroe,
University of Louisville,college,NCAA_D1_FBS,Atlantic Coast Conference,KY,Louisville,
University of Lynchburg,college,NCAA_D3,Old Dominion Athletic Conference,VA,Lynchburg,
University of Maine,college,NCAA_D1_FCS,America East Conference,ME,Orono,
University of Maine at Farmington,college,NCAA_D3,North Atlantic Conference,ME,Farmington,
University of Maine at Presque Isle,college,NCAA_D3,North Atlantic Conference,ME,Presque Isle,
University of Mary,college,NCAA_D2,Northern Sun Intercollegiate Conference,ND,Bismarck,
University of Mary Hardin–Baylor,college,NCAA_D3,American Southwest Conference,TX,Belton,
University of Mary Washington,college,NCAA_D3,Coast to Coast Athletic Conference,VA,Fredericksburg,
University of Maryland Eastern Shore,college,NCAA_D1,Mid-Eastern Athletic Conference,MD,Princess Anne,
"University of Maryland, Baltimore County",college,NCAA_D1,America East Conference,MD,Catonsville,
"University of Maryland, College Park",college,NCAA_D1_FBS,Big Ten Conference,MD,College Park,
University of Massachusetts Amherst,college,NCAA_D1_FBS,Mid-American Conference,MA,Amherst,
University of Massachusetts Boston,college,NCAA_D3,Little East Conference,MA,Boston,
University of Massachusetts Dartmouth,college,NCAA_D3,Little East Conference,MA,Dartmouth,
University of Massachusetts Lowell,college,NCAA_D1,America East Conference,MA,Lowell,
University of Memphis,college,NCAA_D1_FBS,American Conference,TN,Memphis,
University of Miami,college,NCAA_D1_FBS,Atlantic Coast Conference,FL,Coral Gables,
University of Michigan,college,NCAA_D1_FBS,Big Ten Conference,MI,Ann Arbor,
University of Michigan–Dearborn,college,NAIA,Wolverine–Hoosier Athletic Conference,MI,Dearborn,
University of Minnesota,college,NCAA_D1_FBS,Big Ten Conference,MN,Minneapolis,
University of Minnesota Crookston,college,NCAA_D2,Northern Sun Intercollegiate Conference,MN,Crookston,
University of Minnesota Duluth,college,NCAA_D2,Northern Sun Intercollegiate Conference,MN,Duluth,
University of Minnesota Morris,college,NCAA_D3,Upper Midwest Athletic Conference,MN,Morris,
University of Missouri–Columbia,college,NCAA_D1_FBS,Southeastern Conference,MO,Columbia,
University of Missouri–Kansas City,college,NCAA_D1,Summit League,MO,Kansas City,
University of Missouri–St. Louis,college,NCAA_D2,Great Lakes Valley Conference,MO,St. Louis,
University of Mobile,college,NAIA,Southern States Athletic Conference,AL,Prichard,
University of Montana,college,NCAA_D1_FCS,Big Sky Conference,MT,Missoula,
University of Montana–Western,college,NAIA,Frontier Conference,MT,Dillon,
University of Montevallo,college,NCAA_D2,Gulf South Conference,AL,Montevallo,
University of Mount Olive,college,NCAA_D2,Conference Carolinas,NC,Mount Olive,
University of Mount Saint Vincent,college,NCAA_D3,Skyline Conference,NY,The Bronx,
University of Mount Union,college,NCAA_D3,Ohio Athletic Conference,OH,Alliance,
University of Nebraska at Kearney,college,NCAA_D2,Mid-America Intercollegiate Athletics Association,NE,Kearney,
University of Nebraska Omaha,college,NCAA_D1,Summit League,NE,Omaha,
University of Nebraska–Lincoln,college,NCAA_D1_FBS,Big Ten Conference,NE,Lincoln,
"University of Nevada, Las Vegas",college,NCAA_D1_FBS,Mountain West Conference,NV,Paradise,
"University of Nevada, Reno",college,NCAA_D1_FBS,Mountain West Conference,NV,Reno,
University of New England,college,NCAA_D3,Conference of New England,ME,Biddeford,
University of New Hampshire,college,NCAA_D1_FCS,America East Conference,NH,Durham,
University of New Haven,college,NCAA_D2,Northeast Conference,CT,New Haven,
University of New Orleans,college,NCAA_D1,Southland Conference,LA,New Orleans,
University of North Alabama,college,NCAA_D1_FCS,Atlantic Sun Conference,AL,Florence,
University of North Carolina at Asheville,college,NCAA_D1,Big South Conference,NC,Asheville,
University of North Carolina at Chapel Hill,college,NCAA_D1_FBS,Atlantic Coast Conference,NC,Chapel Hill,
University of North Carolina at Charlotte,college,NCAA_D1_FBS,American Conference,NC,Charlotte,
University of North Carolina at Greensboro,college,NCAA_D1,Southern Conference,NC,Greensboro,
University of North Carolina at Pembroke,college,NCAA_D2,Conference Carolinas,NC,Pembroke,
University of North Carolina at Wilmington,college,NCAA_D1,Coastal Athletic Association,NC,Wilmington,
University of North Dakota,college,NCAA_D1_FCS,Summit League,ND,Grand Forks,
University of North Florida,college,NCAA_D1,Atlantic Sun Conference,FL,Jacksonville,
University of North Georgia,college,NCAA_D2,Peach Belt Conference,GA,Dahlonega,
University of North Texas,college,NCAA_D1_FBS,American Conference,TX,Denton,
University of North Texas at Dallas,college,NAIA,Red River Athletic Conference,TX,Dallas,
University of Northern Colorado,college,NCAA_D1_FCS,Big Sky Conference,CO,Greeley,
University of Northern Iowa,college,NCAA_D1_FCS,Missouri Valley Conference,IA,Cedar Falls,
University of Northwestern - St. Paul,college,NCAA_D3,Upper Midwest Athletic Conference,MN,Roseville,
University of Northwestern Ohio(UNOH),college,NAIA,Wolverine–Hoosier Athletic Conference,OH,Lima,
