name,level,division,conference,state,city,athletics_url
Luther College,college,NCAA_D3,American Rivers Conference(Midwest Conferencein 2026),IA,Decorah,
Lycoming College,college,NCAA_D3,Landmark Conference,PA,Williamsport,
Lynn University,college,NCAA_D2,Sunshine State Conference,FL,Boca Raton,
Lyon College,college,NCAA_D3,St. Louis Intercollegiate Athletic Conference,AR,Batesville,
Macalester College,college,NCAA_D3,Minnesota Intercollegiate Athletic Conference,MN,St. Paul,
Madonna University,college,NAIA,Wolverine–Hoosier Athletic Conference,MI,Livonia,
Maine Maritime Academy,college,NCAA_D3,North Atlantic Conference,ME,Castine,
Malone University,college,NCAA_D2,Great Midwest Athletic Conference,OH,Canton,
Manchester University,college,NCAA_D3,Heartland Collegiate Athletic Conference,IN,North Manchester,
Manhattan University,college,NCAA_D1,Metro Atlantic Athletic Conference,NY,Riverdale,
Manhattanville University,college,NCAA_D3,Skyline Conference,NY,Purchase,
Maranatha Baptist University,college,NCAA_D3,Independent,WI,Watertown,
Marian University,college,NCAA_D3,Northern Athletics Collegiate Conference,WI,Fond du Lac,
Marietta College,college,NCAA_D3,Ohio Athletic Conference,OH,Marietta,
Marist University,college,NCAA_D1_FCS,Metro Atlantic Athletic Conference,NY,Poughkeepsie,
Marquette University,college,NCAA_D1,Big East Conference,WI,Milwaukee,
Mars Hill University,college,NCAA_D2,South Atlantic Conference,NC,Mars Hill,
Marshall University,college,NCAA_D1_FBS,Sun Belt Conference,WV,Huntington,
Martin Luther College,college,NCAA_D3,Upper Midwest Athletic Conference,MN,New Ulm,
Mary Baldwin University,college,NCAA_D3,USA South Athletic Conference,VA,Staunton,
Marymount University,college,NCAA_D3,Atlantic East Conference,VA,Arlington,
Maryville College,college,NCAA_D3,Collegiate Conference of the South(Southern Athletic Associationin 2026),TN,Maryville,
Maryville University,college,NCAA_D2,Great Lakes Valley Conference,MO,Town and Country,
Marywood University,college,NCAA_D3,Atlantic East Conference(MAC Freedomin 2026),PA,Scranton,
Massachusetts College of Liberal Arts,college,NCAA_D3,Massachusetts State Collegiate Athletic Conference,MA,North Adams,
Massachusetts Institute of Technology,college,NCAA_D3,New England Women's and Men's Athletic Conference,MA,Cambridge,
Massachusetts Maritime Academy,college,NCAA_D3,Massachusetts State Collegiate Athletic Conference,MA,Buzzards Bay,
Mayville State University,college,NAIA,Frontier Conference,ND,Mayville,
McDaniel College,college,NCAA_D3,Centennial Conference,MD,Westminster,
McKendree University,college,NCAA_D2,Great Lakes Valley Conference,IL,Lebanon,
McMurry University,college,NCAA_D3,Southern Collegiate Athletic Conference(American Southwest Conferencein 2026),TX,Abilene,
McNeese State University,college,NCAA_D1_FCS,Southland Conference,LA,Lake Charles,
McPherson College,college,NAIA,Kansas Collegiate Athletic Conference,KS,McPherson,
Medgar Evers College,college,NCAA_D3,City University of New York Athletic Conference,NY,Brooklyn,
Menlo College,college,NCAA_D2,Pacific West Conference(California Collegiate Athletic Associationin 2026),CA,Atherton,
Mercer University,college,NCAA_D1_FCS,Southern Conference,GA,Macon,
Mercy University,college,NCAA_D2,East Coast Conference,NY,Dobbs Ferry,
Mercyhurst University,college,NCAA_D2,Northeast Conference,PA,Erie,
Meredith College,college,NCAA_D3,USA South Athletic Conference,NC,Raleigh,
Merrimack College,college,NCAA_D1_FCS,Metro Atlantic Athletic Conference,MA,North Andover,
Messiah University,college,NCAA_D3,MAC Commonwealth,PA,Grantham,
